adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,caudate,cerebellum,cerebral cortex,cervix,colon,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,spleen,stomach 1,stomach 2,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,,GRPEL2,H1-7,POLE3,,PM20D2,SLC4A10,ID1,DDX21,RPL32,,,OMA1,ATAD3B,,,,,,,,FUOM,,AUTS2,,NR4A2,UEVLD,SCNM1,,,SIN3A,ZYG11B,,,MRPL14,,,,PKHD1L1,,MLLT11,,LEF1,GINS3,,ANKFY1,IDH3A,ILK,HEYL,,,ROPN1L,,,CNOT9,,
,,ARSK,DYNC2H1,SURF4,,SCML4,TMEFF2,DYNLRB1,BMS1,IL17RD,,,NEXN,ABCG1,,,,,,,,LRRC27,,SHROOM4,,SCN3A,TMEM86A,IWS1,,,ARL13B,CZIB,,,SLC25A42,,,,NT5M,,ARHGEF35,,PAPSS1,CCDC149,,DMWD,RPL27A,DCHS1,IFT122,,,MARCHF6,,,STK11IP,,
,,SERINC5,BCAM,GBGT1,,RSPO3,DLX1,EIF2S2,STK32C,SHQ1,,,TYW3,RSPH1,,,,,,,,MTG1,,CDC25C,,ASAP1,TMEM263,BOLA3,,,CXCL8,PARS2,,,SLC26A11,,,,PRR13,,NRAS,,PPP3CA,CHST15,,BCAP31,DENND2B,IFTAP,RFC4,,,CDH18,,,RBMS3,,
,,ANKRA2,RSBN1L,SURF1,,ARHGAP18,PHOSPHO2,ERGIC3,JCAD,SLC25A26,,,FAM102B,SLC37A1,,,,,,,,PPRC1,,CATIP,,LPCAT1,ANK3,S100A11,,,SDC2,PRKAA2,,,H2AC25,,,,TECPR1,,ARHGAP19,,SLC39A8,IDH2,,ARL17A,C16orf46,SERPINB8,BAP1,,,SRD5A1,,,STAC,,
,,UBLCP1,CIDEC,NTMT1,,SLC2A12,GULP1,TMEM115,PIP4P1,UBA3,,,HENMT1,PDE9A,,,,,,,,RGS10,,KCNB1,,PLEKHG4B,IPMK,TGFA,,,MMGT1,LZIC,,,AATK,,,,MT1A,,C8orf82,,MAPK8IP3,TMEM259,,FFAR3,TMEM41B,PLD4,RFT1,,,SKP2,,,IQSEC1,,
,,NSA2,SIRT7,CIZ1,,SHPRH,HSPD1,PSMB2,METTL17,LIMD1,,,ZNF326,PKNOX1,,,,,,,,BTBD10,,NRG2,,UBALD1,SLC2A13,CCNYL1,,,PLEKHA2,RBP7,,,RNF135,,,,EXOC3L4,,HEXA,,PARVG,TMEM30B,,POMK,ZNF143,RPL27A,GNL3,,,GZMA,,,IL17RD,,
,,GFM2,USP7,SLC25A25,,TMEM181,METTL21A,ST3GAL3,SLC39A2,COL8A1,,,BRINP3,RRP1B,,,,,,,,IMMP1L,,AHCYL2,,ING1,EIF4E,HELQ,,,HINT1,SDC3,,,TMIE,,,,CPT1B,,SULT1A4,,ETV6,NOP10,,KLHDC8B,TMEM135,TMEM41B,TASOR,,,IQGAP2,,,UBA3,,
,,ACSL6,COX8C,MIGA2,,PNLDC1,SUMF1,TMEM53,NDRG2,PHLDB2,,,SLC30A7,GAB3,,,,,,,,PGAP2,,SPATA2,,FBXL2,MAGI1,MRPS18C,,,DFFB,ALPL,,,MEX3D,,,,LCMT1,,SLC35F6,,GABARAPL1,KCNIP1,,PTCH1,NDEL1,CCDC68,SLBP,,,SLC30A5,,,ARL6IP5,,
,,SEPTIN8,PLEKHN1,PTGES,,VIP,VGLL4,HECTD3,RNASE7,ABHD10,,,NLRP3,ICOSLG,,,,,,,,HSD17B12,,CD1E,,RMND5A,SRFBP1,GPR155,,,LUZP1,MEGF6,,,ZNF875,,,,ITSN1,,DDAH2,,ETFBKMT,TDRKH,,ZNF267,RRAD,TMEM135,LRPAP1,,,BTF3,,,ENSG00000144785,,
,,FABP7,TET3,PAXX,,C7orf50,CNOT9,TUBGCP3,TRUB1,IGSF11,,,SLAMF9,SLX9,,,,,,,,DGKZ,,TSR2,,RPIA,NPAS3,CLDN1,,,LRRC45,DIRAS3,,,SIAH2,,,,RIMOC1,,GALT,,ETNK1,ERCC6L2,,BICD2,CIAO2B,NDEL1,UBXN7,,,COMMD10,,,NFKBIZ,,
,,SFXN1,EXD3,NACC2,,SDK1,EAF1,PCID2,ZFYVE1,SRPRB,,,PEX19,RALGDS,,,,,,,,TNKS1BP1,,TMED4,,PTPRD,FAM177A1,PYGO2,,,AGPAT2,NFIA,,,SLC9A9,,,,PLPP6,,ITGA1,,C1RL,MRPL41,,RASA3,COG1,RRAD,C1orf50,,,ARHGAP26,,,ABHD10,,
,,PDSS2,RGPD1,MSRB2,,CCZ1B,RBMS3,LRFN3,UBTD1,MED12L,,,FLVCR1,LSS,,,,,,,,SSRP1,,COPG2,,CNKSR3,MIPOL1,HIPK1,,,RFNG,OMA1,,,RFX7,,,,C21orf62,,AP1G2,,NDUFA9,TSEN54,,EDARADD,ZNF606,CIAO2B,METAP1,,,CXCL14,,,RABL3,,
,,STXBP5,TRPV2,MINDY3,,INTS15,SLC25A38,IGFLR1,ARHGAP42,NCEH1,,,RBM15,VAV2,,,,,,,,SLC43A1,,GPAT4,,GTF2E1,TMEM18,INAVA,,,LIMS1,MYSM1,,,CLDN7,,,,SERPINB5,,NAXD,,VAMP1,C1S,,BLOC1S4,B2M,HSP90B1,DNAJB14,,,RNF145,,,ADPRH,,
,,IL31RA,CARD9,RSU1,,EGFR,RPL32,CAPNS1,PACSIN3,VWA5B2,,,IER5,MCM3AP,,,,,,,,PTPRJ,,ZSCAN12,,CFDP1,KCTD14,EOGT,,,CSGALNACT2,TM2D1,,,ADO,,,,HACD2,,FBXO16,,TAPBPL,PRAMEF8,,GPAT2,ZNF592,COG1,EMCN,,,GABRA6,,,SRPRB,,
,,ANKRD55,PEAR1,PARD3,,NIPSNAP2,IL17RD,UBA2,SLC39A13,SLC26A1,,,SNED1,ZDHHC12,,,,,,,,ARFGAP2,,TAGLN2,,ZDHHC7,VIPAS39,NAXE,,,PCDH7,NEXN,,,KCNIP1,,,,STK38L,,ARL16,,LRIG3,CACNB4,,TOR3A,MARF1,B2M,SLC9B2,,,FBXO38,,,FAM86B2,,
,,BMT2,ZFP69B,FAM13C,,ATXN7L1,SLC25A26,COX6B1,PTER,ATP10D,,,BPNT1,PKN3,,,,,,,,HIKESHI,,ELK4,,CMIP,ANKRD50,FSTL1,,,REPS2,DNAJB4,,,CREB3L2,,,,SACM1L,,MYCBP,,GLIPR1,NPLOC4,,ANKRD37,SAAL1,ZNF592,ATRIP,,,TNIP1,,,DCAF1,,
,,SLU7,EIF4EBP1,LRMDA,,TRAPPC14,ARL6IP5,THRA,ARL5B,ENOPH1,,,TFB2M,MED27,,,,,,,,CCDC82,,DUSP23,,SPHKAP,CDC123,EOMES,,,SYAP1,TYW3,,,ARL6IP4,,,,IGHA2,,ALG3,,TMEM19,KPNA2,,NUDT17,CIAO2A,MARF1,SPRY1,,,G3BP1,,,EIF2B5,,
,,PTTG1,LDLRAD2,ADIRF,,SLC12A9,TMF1,NR1D1,SMCO4,GC,,,PPP1R21,JAML,,,,,,,,TENM4,,SPATA2L,,LGI4,ACAD8,AZI2,,,BRD3,FAM102B,,,CYB5D1,,,,NUP62,,SH3D21,,DUSP6,LIMK2,,TMEM222,FAM111A,YPEL4,BSN,,,BOD1,,,VWA5B2,,
,,SYTL3,TPRG1,GLUD1,,TRIM4,MYH15,FRMD8,CEP295,PYURF,,,MRPL55,S100A1,,,,,,,,CAPN5,,ZNF276,,CHD1,VPS26B,ANKZF1,,,TIGD4,HENMT1,,,BACE2,,,,SFT2D2,,NEURL1B,,AMDHD1,MFSD5,,SMYD4,LDHD,CIAO2A,APEH,,,TBC1D7,,,FIP1L1,,
,,ZNF704,RILPL1,ADD3,,NLGN4X,PHLDB2,BCL2L12,TAF1D,CISD2,,,WDR26,CXCR5,,,,,,,,PAK1,,PINK1,,CACNA2D1,FHIP2A,STT3B,,,ALCAM,ZNF326,,,GABRG3,,,,MLLT11,,VSTM5,,GAS2L3,SATB1,,NF2,DCTN5,FAM111A,RNF123,,,FARS2,,,ATP10D,,
,,CHMP4C,C6orf132,DNAJB12,,SHROOM2,ABHD10,IRF3,ABTB2,ANK2,,,REL,NLRX1,,,,,,,,NCAM1,,B4GALT3,,PPP2R5E,QTRT2,FCRL1,,,CNTROB,BRINP3,,,C8orf33,,,,ARHGEF35,,SPINK13,,SLC15A4,CSF1R,,UBE2H,PLK1,LDHD,ABHD18,,,KLHL3,,,OCIAD2,,
,,C8orf48,AGRN,FUOM,,LUC7L2,TAGLN3,RRAS,R3HCC1L,SPATA5,,,PUS10,ADAR,,,,,,,,AASDHPPT,,ADAMTS4,,SDHAF4,MMAA,SGO2,,,TMEM192,GFI1,,,CACNB4,,,,ERV3-1,,ZNF727,,SDSL,SNORC,,C17orf58,NAB2,NAB2,MST1R,,,DCDC2,,,PLAC8,,
,,SPIDR,NHS,PPRC1,,SH3KBP1,RABL3,PRRG2,HTRA1,MARCHF1,,,SANBR,CRTC2,,,,,,,,SLX4IP,,FCER1G,,GPR15,ASAP2,NUAK2,,,ZNF778,SLC30A7,,,TRAPPC6B,,,,TMX2,,TOMM6,,MMAB,TRAK1,,BCDIN3D,STAT6,ATP23,POC1A,,,SLC17A4,,,PYURF,,
,,ORC5,DCUN1D3,RGS10,,CASK,ADPRH,PRR12,SPRED1,RPS3A,,,TRIM17,ANO10,,,,,,,,INCENP,,TOMM40L,,TOMM70,ADAM17,MNDA,,,USP47,ZNF281,,,MFSD5,,,,HEXA,,FER1L6,,GIT2,NTM,,TPCN1,ATP23,MRPL16,PPM1M,,,TRIM41,,,TBCK,,
,,OXR1,CENPP,ADM,,KDM6A,IGSF11,FLRT1,GPR176,CYP4V2,,,CAPN13,NBEAL2,,,,,,,,EI24,,CDC42SE2,,CC2D1B,TMEM45B,IFI16,,,PDCD6IP,ARPC5,,,SNORC,,,,SULT1A4,,GOLGA8B,,TCHP,CMC4,,EMID1,MS4A7,YWHAB,C4orf3,,,RNF44,,,CAMK2D,,
,,TMEM184A,SERPINA5,IMMP1L,,DIPK2B,ATG3,WNK4,IKBIP,MARCHF6,,,LRATD1,FGFR4,,,,,,,,MPZL2,,MIS18A,,PRKCA,SLC25A4,EIF5A2,,,ZNF282,SLAMF9,,,SKA2,,,,SLC35F6,,VPS16,,SUOX,HCAR2,,RPS19BP1,RCCD1,TSC22D4,SCRG1,,,ANO7,,,ANK2,,
,,INTS1,NDOR1,HSD17B12,,CHST7,TMEM108,BECN1,RPUSD2,SKP2,,,CFAP36,NACC1,,,,,,,,JPH2,,CFAP298,,LRRK1,BICD1,PPM1L,,,CRTAP,FLVCR1,,,GALR2,,,,DDX47,,RPL17-C18orf32,,ACVRL1,DDX28,,MITF,AKTIP,MS4A7,CEP44,,,TPBG,,,TIFA,,
,,CDK5,PTAR1,EIF3M,,ZNF41,MED12L,PRKCG,NDUFB8,OSMR,,,NUP35,RECQL4,,,,,,,,DSN1,,SYNJ1,,ABCA9,CCDC122,SPICE1,,,CMTM8,ATF3,,,CMC4,,,,IRF9,,CEBPZOS,,GPR84,ALG12,,HEATR4,MARS1,SMAD3,HPGD,,,PM20D2,,,SPATA5,,
,,FASTK,BCL2L15,PTPRJ,,OGT,EIF2A,NSRP1,BTRC,PLK2,,,WDCP,ALKBH4,,,,,,,,SOGA1,,MRPL10,,ABCA5,NBAS,CDS1,,,CDK1,RBM15,,,PAPPA,,,,NAXD,,UMAD1,,NABP2,COL18A1,,CMC1,MBD6,MAPRE2,GASK1B,,,SCML4,,,CCNA2,,
,,OSR2,NHLRC3,ARFGAP2,,SNX12,LPP,DNAJC8,SENP8,LHFPL2,,,SMC6,CCDC105,,,,,,,,CNBD2,,GART,,MIA3,SACS,WDFY3,,,NFRKB,SNED1,,,PLCXD3,,,,TMEM213,,PPP2R2A,,CERS5,MTA1,,H1-7,CNPY4,MARS1,NAA15,,,ABRACL,,,METTL14,,
,,TP53INP1,HMX2,ENDOD1,,IL2RG,TCTA,AHDC1,ALKBH3,IQGAP2,,,SLC16A14,SH2B2,,,,,,,,LSM14B,,CSRP1,,TNIK,CCL28,SLMAP,,,FOS,BPNT1,,,GLUD2,,,,VSTM5,,XKR9,,CSAD,PYCR1,,TSPYL4,DUSP18,MBD6,FHIP1A,,,TAAR1,,,MARCHF1,,
,,WASHC5,SLX4,CCDC82,,ZNF711,MANF,IFI6,COPS2,GIN1,,,SPATA18,NAPEPLD,,,,,,,,TRPT1,,C1QC,,OBSCN,DST,RPL9,,,TMED10,BROX,,,TCEAL7,,,,STARD10,,SLC12A8,,ESYT1,AFMID,,GCNT1,MEI1,CNPY4,ARFIP1,,,WTAP,,,CBR4,,
,,FAM219A,ZNF292,CAPN5,,DIAPH2,ILDR1,ZNF384,SGPL1,SLC30A5,,,PDLIM5,MFSD12,,,,,,,,NUDT22,,UBE2Z,,TRIM11,BAG3,DNASE1L3,,,PYM1,KIF26B,,,CEP63,,,,HNRNPUL2,,APOL6,,TMBIM6,TMEM119,,MAGED4B,GOLGA2,PDIA3,OTUD4,,,ZMYM4,,,SRD5A1,,
,,NIPSNAP3B,ADAT2,INTS4,,ARHGAP36,VWA5B2,UXT,COX11,SPATA9,,,RPRD2,ABCF3,,,,,,,,MRPL49,,RUNX1,,ENAH,SCHIP1,IL17RE,,,NPAS2,CNST,,,ABAT,,,,CSKMT,,FADS3,,ZNF740,CALN1,,BCAM,COQ4,DUSP18,LSM6,,,SDK1,,,SKP2,,
,,ABCA1,APOD,HTR3B,,RBMX,SCD5,TIMM17B,FAM227B,TNFAIP8,,,CTSS,PCYT1A,,,,,,,,CDC42EP2,,CBR3,,SH3RF1,AP1S3,CXCL5,,,LONRF2,MAPKAPK2,,,SLC25A10,,,,NEURL4,,CPTP,,ESD,CHST6,,RSBN1L,ENDOG,MEI1,TMEM184C,,,CDCA5,,,OSMR,,
,,FXN,BLOC1S3,AASDHPPT,,NSDHL,ENOPH1,PCNX4,WBP1L,FEM1C,,,SCNM1,ACOX1,,,,,,,,TMEM219,,ADPGK,,BTG3,MZT2B,GYG1,,,HSD17B13,FCMR,,,RGPD6,,,,ZNG1F,,MKRN2OS,,RB1,RUVBL2,,TAF9B,UGT1A6,COQ4,MOCS2,,,ATXN7L1,,,IQGAP2,,
,,ZMAT4,ZNF573,GLB1L2,,CHRNB3,SNCA,KTN1,PLEKHF1,CXCL14,,,ERCC3,SRSF2,,,,,,,,HMGA2,,PTMS,,C21orf91,GEMIN6,RYK,,,PA2G4,CAPN2,,,LYSMD4,,,,TENM3,,NOL7,,VPS37B,RIPK4,,C11orf96,PRR15L,SLC27A4,EDIL3,,,TMEM168,,,RASA1,,
,,MAMDC2,FAM47E,P4HA3,,DOCK5,PYURF,RHOJ,APBB1,RNF145,,,RNF149,KASH5,,,,,,,,CNTN5,,CYB5R1,,TSEN2,OBI1,SNRK,,,ELOVL6,REL,,,GPC6,,,,NBPF1,,LYRM9,,DENR,COA5,,COL4A1,TBC1D2B,DOLPP1,ELOVL7,,,MEPCE,,,GIN1,,
,,ALDH1A1,LIN54,ADAM33,,PLPBP,TBCK,DLGAP5,NUDT13,FBXO38,,,BOLA3,MPP3,,,,,,,,MKX,,PSMD4,,XPC,SETBP1,UCN,,,STAT2,PUS10,,,ARHGEF37,,,,ZGLP1,,RPS28,,ABHD13,PSMG1,,GJA4,ATP5MG,ENDOG,LMBRD2,,,TMEM47,,,SLC30A5,,
,,TRPV6,FAM180A,TKFC,,TACC1,CAMK2D,L3HYPDH,TRIM44,PCYOX1L,,,S100A11,SHANK1,,,,,,,,CWC15,,ATP13A2,,FGD5,ARL14EP,ZNF513,,,NUDCD2,MEMO1,,,TMEM119,,,,AP4M1,,CTXN2,,RAB20,PCBP3,,PTMA,ACAA2,SP2,STARD4,,,CASK,,,TNFAIP8,,
,,STRBP,KAZN,FADS1,,LACTB2,TIFA,ZBTB1,ILK,TNIP1,,,CCNYL1,PLCD3,,,,,,,,ARID5B,,BTG2,,FLCN,HAUS1,KIAA1143,,,FOXA3,DPY30,,,RUVBL2,,,,PPP2R2A,,TRIM26,,SSTR1,TANGO2,,HSPA14,STIM1,PRR15L,F2RL1,,,KDM6A,,,COMMD10,,
,,ZNF367,SLC35E2B,PLCH2,,SYBU,SPATA5,TRMT5,DCHS1,N4BP3,,,FZD5,RACGAP1,,,,,,,,CDH8,,CELF3,,PPP4R1,C18orf25,WDR43,,,ACYP2,MAIP1,,,TREX2,,,,TRIM16,,ZNF736,,FITM1,SFXN4,,ZKSCAN4,TRIM68,TBC1D2B,WDR41,,,MSN,,,ATG12,,
,,OTUD1,GSPT2,FEZ1,,LRP12,SETD7,SGPP1,IFTAP,NHP2,,,HELQ,LARP4,,,,,,,,TMCO3,,UBR1,,USP43,PDK1,ZDHHC3,,,TRABD,CFAP36,,,MX2,,,,XKR9,,SMIM1,,TMX1,CCR3,,SPRY4,IRGQ,ATP5MG,GRPEL2,,,AKAP4,,,ARHGAP26,,
,,ARHGAP12,BLOC1S2,MPZL2,,EIF3H,CBR4,PLEKHG3,PPFIBP2,BOD1,,,PYGO2,SENP3,,,,,,,,LATS2,,RGL4,,ANKRD40,ATG10,FYCO1,,,ATF7,NUP35,,,ACSM5,,,,SLC12A8,,PPP1R3E,,FRMD6,NDUFB1,,TCEA1,ZNF668,ACAA2,CASP3,,,DIPK2B,,,PCYOX1L,,
,,HECTD2,CFAP119,TMEM25,,TATDN1,MARCHF6,EVI2A,MOGAT2,FAM50B,,,HIPK1,SNRNP25,,,,,,,,ADGRL3,,RSPRY1,,AZIN1,FAM151B,DTX3L,,,SOCS6,CCDC138,,,SETD3,,,,FADS3,,B3GALT4,,PELI2,KLHL25,,SEMA4D,SMG8,IRGQ,ERAP2,,,CHST7,,,G3BP1,,
,,LRFN5,MYT1,JPH2,,ZNF7,SRD5A1,DYNC2I1,SERPINB8,FARS2,,,INAVA,SPSB3,,,,,,,,KIAA1328,,GPBP1L1,,OTUD6B,JMY,ZMYM6,,,KCNS3,ACTG2,,,FAM167B,,,,HBD,,CLEC2L,,DCAF5,EFHC2,,EIF4EBP1,TPM4,ZNF226,CFAP97,,,ZNF41,,,N4BP3,,
,,MARCHF8,SERPINA3,KIAA1755,,C9orf72,HAPLN1,AIF1L,TRIM66,SLC17A4,,,EOGT,ZNF75A,,,,,,,,MIA2,,ACE,,PI4K2A,XRCC4,TPRA1,,,KIF5B,SMC6,,,MRPL54,,,,SLC26A6,,UBE2L5,,RAB15,NOG,,DNER,MIDN,ZNF646,RICTOR,,,SNX12,,,NHP2,,
,,DNAAF2,FAT4,DSN1,,ZCCHC7,IQGAP2,FAM78A,RPL27A,TRIM41,,,NAXE,CLPB,,,,,,,,HNMT,,ZFYVE28,,SAMSN1,NMT2,KLF15,,,AKAP13,BBS5,,,NDUFB1,,,,WDR46,,B3GNT9,,STON2,LHFPL6,,ARL4C,GATAD2A,SMG8,NSA2,,,GCNA,,,BOD1,,
,,ARF6,STK40,LSM14B,,SHC3,PAM,MAP2K2,ATMIN,HIGD2A,,,TEX55,NEU3,,,,,,,,PDCD4,,ABR,,GRAMD2B,CCDC50,SENP2,,,GPR27,CTSS,,,EFHC2,,,,ZNF688,,RGL2,,PTGR2,CBX6,,AGRN,TRAPPC2L,GATAD2A,SFXN1,,,ZNF711,,,FARS2,,
,,KBTBD6,CTSE,NUDT22,,INIP,FBXL17,ARMCX1,C16orf46,TNFRSF21,,,FSTL1,TAF6L,,,,,,,,CCDC102B,,LYPD5,,DBI,CAMK4,IFT122,,,NUDT6,SCNM1,,,CBX6,,,,LYRM9,,KIFC1,,JDP2,TRAIP,,NHS,ZNF641,TRAPPC2L,DACT2,,,PRPS1,,,GFRA3,,
,,DACT1,GREB1,VPS51,,UGCG,SPATA9,ZC4H2,TMEM41B,RASGEF1C,,,CCT3,RPL29,,,,,,,,CNDP1,,GNE,,NIFK,ZFP36L2,BAP1,,,ZNF160,BOLA3,,,FAM162B,,,,CTXN2,,CASTOR1,,FBLN5,ZNF703,,ZC3H6,KMT2D,RPL13,ANKRD55,,,IGSF1,,,KLHL3,,
,,BEND7,SRGAP3,HIRIP3,,STOM,FEM1C,INTS11,TMX3,RARS2,,,CIP2A,SYVN1,,,,,,,,RGS18,,CALM3,,LARP1,GJA1,TKT,,,CAVIN3,CCNYL1,,,RBM12B,,,,ZNF879,,CDRT4,,CLBA1,OLFML1,,DCUN1D3,RHEBL1,KMT2D,GALNT10,,,MCPH1,,,HIGD2A,,
,,ATP5F1C,FAM217B,TAOK2,,CRB2,COMMD10,IPPK,WEE1,SCML4,,,EOMES,ZFPL1,,,,,,,,DOCK1,,DFFA,,C9orf85,PELO,RFT1,,,TSNARE1,FZD5,,,CCR4,,,,RPEL1,,APOBEC3G,,NIPA2,RBM12B,,CENPP,GPD1,RHEBL1,SAP30L,,,FATE1,,,TNFRSF21,,
,,COMTD1,ZNF471,TMEM219,,ALAD,YIPF5,FGD3,MAPK7,ABRACL,,,NUAK2,RPS6KA4,,,,,,,,DLAT,,IQCC,,PIK3AP1,GPR180,TASOR,,,FEZ2,GNPDA2,,,GPR39,,,,KIAA0040,,WBP1,,DUOXA1,BTBD9,,FAM83G,PROSER3,ZNF610,RPS14,,,RPL10,,,RNF44,,
,,ZNF503,SUPT3H,HMGA2,,WDR31,RNF145,HIVEP3,HDGFL3,MTFR2,,,IFI16,COA7,,,,,,,,NKAPD1,,TMEM234,,PDIA4,GGPS1,LRPAP1,,,C11orf24,HELQ,,,FAM3B,,,,B3GALT4,,MRPS17,,HDC,GPR39,,RTL6,TMC4,GPD1,PTTG1,,,CCDC25,,,RASGEF1C,,
,,FAM204A,NIF3L1,MPP7,,GBGT1,C1QTNF2,PPCS,TK2,SLC2A12,,,RPL22L1,MAGOH,,,,,,,,TIMM8B,,BSDC1,,KCTD18,SREK1IP1,UBXN7,,,ALK,MRPS18C,,,LRRC55,,,,UBE2L5,,PCDHGC3,,ANP32A,FAM3B,,PTAR1,LENG8,LENG8,CAMLG,,,CHRNB3,,,DAAM2,,
,,PRDX3,CD55,ITGB1,,SURF1,GABRA6,COX7C,TMED3,PNLDC1,,,COX18,PARS2,,,,,,,,IL18,,ZBTB8A,,FZD7,LGI2,PIGX,,,PRKCE,PBXIP1,,,COA3,,,,ZNF853,,PPIL3,,ETFA,PRKX,,TMEM120B,ZNF526,ZNF146,USP49,,,GNRH1,,,TPBG,,
,,ENOX2,NTNG2,ARID5B,,REXO4,FBXO38,TRAF2,NDEL1,ZMYM4,,,THOC7,USP24,,,,,,,,PIP4K2A,,ATAD3B,,RNF20,CENPH,C1orf50,,,SOCS5,PYGO2,,,ACTG1,,,,CASTOR1,,ARHGEF25,,SCAPER,SMTN,,NOXA1,PPP1R14A,PPP1R14A,TAGAP,,,RPL7,,,PHIP,,
,,ENTR1,NUDT11,TMCO3,,ASB6,G3BP1,ABHD8,RRAD,VIP,,,ADAMTS9,PRKAA2,,,,,,,,FOXO1,,SSU72,,RRAGA,TXNDC11,ERMAP,,,BBLN,HIPK1,,,NIPSNAP1,,,,CDRT4,,NSUN6,,SKIC8,SPRR4,,BCL2L15,SPINT2,SPINT2,COL1A2,,,PSKH2,,,PNRC1,,
,,HPRT1,EVL,EEF1AKMT1,,NTMT1,N4BP3,BEST3,CIAO2B,ARMT1,,,PPM1K,AK4,,,,,,,,SEC24D,,FNDC5,,RMND1,CETN3,SGMS2,,,MORN4,INAVA,,,SCFD2,,,,WBP1,,ATP5PO,,NEIL1,CRELD2,,ZNF548,UBXN6,EEF2,CHMP4C,,,SYBU,,,PM20D2,,
,,ZMYND19,EPHB4,LATS2,,MIGA2,NHP2,PTPRB,ATF7IP2,SDK1,,,PTX3,RBP7,,,,,,,,ABCB9,,KALRN,,VBP1,RANBP2,BDH2,,,ZNF672,YY1AP1,,,UBE2F,,,,PSMB9,,MRPL33,,DNAJA4,TSPYL2,,SLX4,NXN,UBXN6,LMTK2,,,EBAG9,,,SCML4,,
,,STOX1,MYL6B,ADGRL3,,LRSAM1,RMND5B,DYRK2,PLEKHA7,INTS15,,,HESX1,DHRS3,,,,,,,,DHX37,,RSPH1,,VPS37A,AHCTF1,ZNF589,,,RBKS,EOGT,,,ACOT1,,,,PCDHGC3,,STON1,,BBS4,ACOT1,,RPL14,GGT6,GLOD4,PEX2,,,NDUFB9,,,RSPO3,,
,,RET,PRPF40A,MIA2,,PAXX,BOD1,FGFRL1,B2M,EGFR,,,SMIM14,SDC3,,,,,,,,UBC,,SLC37A1,,CARNMT1,TMEM87B,PLXNB1,,,TRIM8,EIF4E3,,,OAF,,,,ARHGEF25,,PRAF2,,PML,ALDH1A3,,MSL1,ZNF83,SRR,ORC5,,,NAPRT,,,ABRACL,,
,,BMS1,GDAP2,HNMT,,INPP5E,FAM50B,FBXL12,GOLM2,ATXN7L1,,,ABHD6,UBXN10,,,,,,,,GPR158,,PDE9A,,MCU,SCN3A,ATRIP,,,CDC42BPG,FSTL1,,,ALDH1A3,,,,MIF,,JMJD7,,CYP1A1,CCSER1,,ZNF292,OTUB1,CYB5D2,OSGIN2,,,VLDLR,,,SLC18B1,,
,,STK32C,TCEAL3,WDR17,,CACNA1B,FARS2,PLA2G5,BMERB1,TMEM168,,,APBB2,DIRAS3,,,,,,,,DCP1B,,PKNOX1,,MIDEAS,CD96,SHISA5,,,ZNF439,ELF3,,,H2AC20,,,,CRCP,,ENSG00000244255,,RHCG,SLIT3,,ZNF573,SPRYD3,OTUB1,SUN1,,,NFIB,,,MTFR2,,
,,FUNDC2,ANAPC7,CNDP1,,PROSER2,ZMAT2,SLC35E1,MARF1,TRAPPC14,,,PCOLCE2,MYSM1,,,,,,,,THRB,,G6PD,,GNA14,CYRIB,APEH,,,ZNF440,CXCR1,,,H2AC21,,,,EGFL8,,DBNDD2,,POLG,MAP7D2,,S100A13,IGFBP6,SPRYD3,OXR1,,,CDKN2A,,,SLC2A12,,
,,PIP4P1,TPK1,CCT5,,COMMD3,GFRA3,GFER,PPIB,SLC12A9,,,TTC14,TM2D1,,,,,,,,NGLY1,,RRP1,,FAM161B,INO80C,INTU,,,PGAM1,CCT3,,,TSSC4,,,,PLEKHO2,,SCARF2,,FANCI,KNTC1,,ZNF33A,PRDX2,NDUFV1,TMEM184A,,,FBXO10,,,AIG1,,
,,METTL17,SLC6A9,NKAPD1,,PDSS1,KLHL3,WDR24,FAM111A,NLGN4X,,,SNRK,USP1,,,,,,,,TMEM263,,TRAPPC10,,GNAQ,RMND5A,RNF123,,,LURAP1,CIP2A,,,PRKD1,,,,HOGA1,,PTCHD4,,MFGE8,CCR10,,MAOA,CD300A,CD300A,INTS1,,,SIGMAR1,,,PNLDC1,,
,,NSMF,CACNA1H,PIP4K2A,,FAM171A1,HIGD2A,MACF1,LDHD,SHROOM2,,,UCN,NEXN,,,,,,,,UBE3B,,GAB3,,KCNMA1,CD8A,MFSD8,,,PDE7B,EOMES,,,CCSER1,,,,PI4KA,,ADH1C,,MCTP2,WDR27,,FHIT,ATP5PD,ATP5PD,CDK5,,,CEP78,,,ZMYM4,,
