adipose tissue,adrenal gland,appendix,bone marrow,breast,bronchus,cartilage,caudate,cerebellum,cerebral cortex,cervix,choroid plexus,colon,dorsal raphe,duodenum,endometrium,endometrium 1,endometrium 2,epididymis,esophagus,eye,fallopian tube,gallbladder,hair,heart muscle,hippocampus,hypothalamus,kidney,lactating breast,liver,lung,lymph node,nasopharynx,oral mucosa,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,skin 1,skin 2,small intestine,smooth muscle,soft tissue 1,soft tissue 2,sole of foot,spleen,stomach 1,stomach 2,substantia nigra,testis,thymus,thyroid gland,tonsil,urinary bladder,vagina
,NEK1,DSC2,ZNF24,PDZD8,CYP27A1,,SPTBN2,LAMTOR5,NAPG,COG5,,GALNT12,,PEPD,,PLEKHA7,PRPF8,PROM2,FABP5,,NDUFAF1,SGPP1,,NHSL2,C1GALT1C1,,PRDX5,,,ATP6V1B2,H3-4,CDK9,GTF2I,,CMTM3,CDT1,,ZBTB1,BET1L,DDX27,,DNAJC18,RAMAC,,,C7orf50,MRPL39,INSIG2,,,,,PLEKHM1,HEY2,FLNB,,ZNF346,,NR4A2,DERL1,SRD5A1,H2BC6
,RDX,TIMM10,MRPL52,ABRAXAS2,ARMC9,,DDX23,NAPG,GRHL1,SLU7,,KDSR,,VAMP7,,GOLM2,DDX23,AK9,RAD21,,KIF23,RHOT1,,GGTA1,TRIM8,,SCAF1,,,DOK2,RNF187,ODF2,SRSF8,,NDUFB10,ANKRD11,,RHOT1,NDUFAF3,ZBP1,,PA2G4,MT1E,,,EGFR,ATP5PF,CLPP,,,,,WDR46,REPS1,VPS36,,TIMMDC1,,SCN3A,UBAP2,PLK2,H2BC17
,FDX1,FADS2,RAD9A,NSD1,CAB39,,LINGO2,TMEM106C,ANO3,CDCA7L,,ZBTB45,,STAMBP,,AP1G1,PELI3,PIP4P2,SUN1,,RTF1,HNRNPH2,,TCEA3,NPTX1,,WNK4,,,DOCK5,THAP11,C9orf78,RBM8A,,GALNS,RHEBL1,,DYNC2I1,C2orf69,PEPD,,IRX2,LIMS1,,,MDH2,PPP4R1,THOC2,,,,,SETSIP,CCT7,RNASEH2B,,CRBN,,NMRAL1,APTX,BTF3,H3C6
,MAPKBP1,TMEM165,CYP7B1,PRDX3,COX5B,,PELI3,NAV1,FBH1,FABP5,,YLPM1,,USP22,,SLFN5,YIF1A,DBI,FOXK1,,RMDN3,CANX,,RXRB,FAM98B,,TRAP1,,,ERLIN2,H1-4,KLF4,TIMM23,,GAS8,ZNF526,,MAP2K2,GALNT11,STAMBP,,NUDCD2,TAPT1,,,LUC7L2,EME1,MED1,,,,,TAPBP,MDM2,TBC1D4,,BCL6,,ING1,TLN1,YIPF5,MLLT6
,NDUFAF1,PDGFRA,SSH3,PMPCA,GCC2,,SLC29A2,NARS1,RBM17,COL1A2,,IRF2BPL,,USP9X,,YWHAB,PTDSS2,SLC16A1,COX6C,,ZNF280D,INTS11,,SMIM5,GAA,,NSRP1,,,TACC1,DTYMK,TOR1A,STRADA,,NCOR1,ZNF146,,HNRNPH2,P4HTM,SNRNP27,,IRF2BP1,HNRNPF,,,SH3KBP1,ANKRD40,RPL23,,,,,H2BC15,EGLN1,BORA,,NPHP3,,GTF2E1,CD72,DDX46,NUDT18
,KIF23,ERCC5,RNASEH2C,NDRG2,MRPS9,,RESF1,FBH1,MTNR1B,CTSB,,ACOT2,,BTN2A2,,SMAD3,DHX36,PDIA4,YWHAZ,,FNBP1L,COX7C,,ZBTB12,TPPP,,ZNF384,,,NSD3,ATXN2L,CDK5RAP2,H4C15,,CTRL,HDGFL2,,CANX,MAF,USP22,,GPR27,CSGALNACT2,,,ZMYM3,ZNF18,SH2D3A,,,,,H2BC12L,CAPN9,SUCLA2,,KPNA1,,CFDP1,ALDH1B1,C1QTNF2,H3C11
,ITGA11,TPP2,MYD88,UBTD1,WASHC4,,SRP72,RBM17,YARS1,SOX17,,SLIRP,,RRP36,,AKTIP,MRPS22,CLDN8,FZD6,,KYAT3,TSPAN8,,SDHD,RSL1D1,,PCNX4,,,PSKH2,FEN1,PRPF4,TAF15,,GFOD2,GLOD4,,RAB3IP,DHFR2,HIF3A,,KIAA0232,SYAP1,,,TAF1,CYP2U1,VASP,,,,,HLA-B,RNASEL,MED4,,PCCB,,SREK1,RPS6,RMND5B,H2BC9
,HAUS2,ETS1,GRK2,ISCA2,VILL,,PTDSS2,IL2RA,PHC2,RAD21,,EIF2B2,,SNRPC,,MARS1,PACS1,SCAF4,SLC25A32,,GTF2B,RAB3IP,,NEU1,PTGER4,,KTN1,,,MTDH,SERINC2,GARNL3,H4C14,,PTRH2,NUDT8,,LRRC61,TUFM,USP9X,,NDUFA3,ALCAM,,,NONO,PROM2,SYMPK,,,,,B3GNT9,DHX9,COG3,,UBE3A,,UBASH3B,FOXP4,GFOD1,H3C1
,RTF1,APC,RELA,AGBL2,FLNB,,SEZ6L2,RBMX2,BTF3L4,SPIDR,,SUPT7L,,SERPINB6,,PDIA3,MARCKSL1,ANKRD9,DCAF13,,SELENOI,LRRC61,,HSPA1B,MAP6,,L3HYPDH,,,EBAG9,SEMA4C,PSMB7,POM121C,,IMPA2,PRDX2,,EMC1,SPTY2D1,RRP36,,PKIA,CNTROB,,,RBMX,PIP4P2,SDCBP2,,,,,TMEM250,CEP350,LMO7,,ARMC8,,PITPNC1,YIPF3,FAM193B,H2BC3
,RMDN3,NREP,HECTD4,MOAP1,VPS36,,DHX36,YARS1,DTNA,SUN1,,DNMT3A,,H1-3,,PHB1,YPEL2,ATP5MJ,INTS8,,DYNC2LI1,IDUA,,CARD16,PLEKHG5,,ZBTB1,,,ZNF7,TET2,RABEPK,H4C12,,RPRD1A,CD300A,,UBR4,FUCA1,SNRPC,,C1GALT1C1,ZNF778,,,CCDC25,GTF3C6,STK35,,,,,DEFA3,RC3H1,SPRY2,,RBP1,,ABCA9,TMEM63B,TAAR1,H2AC8
,ZNF280D,RFK,COQ2,TAF1D,LMO7,,ZDHHC14,DTNA,TMEM258,FOXK1,,YPEL5,,OARD1,,COQ4,PSMD2,UQCRB,PSIP1,,THUMPD2,EMC1,,ZNF805,GPHN,,SGPP1,,,NFIB,GFM1,GOLGA1,CWC25,,ESCO1,ATP5PD,,HP1BP3,CALR,SERPINB6,,MUC7,HNRNPA3,,,CHMP7,LARP1,NRSN2,,,,,ADSL,COX5B,RCBTB2,,TFDP2,,SH3RF1,FRS3,WTAP,TYW1B
,KYAT3,UBQLN1,KDM2A,TCP11L2,NUDT15,,PACS1,TIMM10,C5AR2,COX6C,,YIPF4,,UNC5CL,,URM1,PCCA,EEF1A1,RASEF,,LRPPRC,UBR4,,POU5F1,ZNF540,,RHOT1,,,GSN,ANKRD49,NCBP1,H2BC14,,GATA6,TMEM88,,EPS15L1,RTL3,H1-3,,TMEM126A,PDCD6IP,,,EIF3H,PDIA4,RRBP1,,,,,DEFA1B,MFSD9,SETDB2,,PDCD10,,BUB3,SLC22A23,SLC22A3,H2BC7
,GTF2B,CTSL,CKS1B,SPINT1,RCBTB2,,PSMD2,FADS2,PDGFRA,YWHAZ,,EPCAM,,AARS2,,COQ7,DCTN2,TYSND1,HNRNPK,,CALHM2,EPS15L1,,DHX16,RPS21,,AIF1L,,,GTF3C5,TNIP2,ANP32B,H2BC8,,PELP1,FAM234A,,GFER,LACC1,UNC5CL,,CANT1,GLB1,,,ZNF7,DRAM2,FLRT3,,,,,ISY1,GCC2,CHST12,,PRKAR2A,,C21orf91,HMGA1,MDH2,H3C7
,RABGGTB,AGTPBP1,EHBP1L1,BRD7,SETDB2,,FAM131A,C5AR2,ARGLU1,FZD6,,IFIT3,,RPS10,,CDK12,CKAP5,PHF6,CARD19,,ARL3,GFER,,MRPS18B,RPS7,,SLC10A3,,,COMMD3,ZNF608,RPL35,CASTOR2,,ARHGDIA,ECI1,,SMARCA4,TSHZ1,AARS2,,KRT19,STX8,,,AK3,BACH1,MKKS,,,,,HLA-DOB,MRPS9,ACTL6A,,ACAP2,,ATP5PF,MTCH1,NIPSNAP2,PRICKLE4
,DBT,GOLM1,RNF26,SENP8,C7orf25,,LIPT2,TMEM165,TPP2,INTS8,,PYROXD2,,MOCS1,,TBC1D16,TMEM9B,KAT6B,HDX,,ATIC,WDR24,,TRIM27,THOP1,,HNRNPH2,,,ADIRF,INPP5D,CTSV,H2BC6,,EIF4A3,SRRM2,,TICAM1,ZNF609,MOCS1,,WIPF2,NFRKB,,,NFIB,TIAM1,SNRPB2,,,,,ATP5PO,ISCU,MRPL47,,RPL24,,XPC,VARS2,CCT6A,H2BC10
,SELENOI,USP30,SMARCC1,COPS2,RAPGEF5,,DRAP1,DZIP1,APC,GEM,,MXI1,,H2BC11,,MYO5B,EIF1AD,UTP14A,NDUFB6,,ASNSD1,SMARCA4,,ZBTB10,GAP43,,TIMM8A,,,GLUD1,LETM1,DSCC1,H4C6,,CSNK1D,SDHAF2,,TUBA4A,MCFD2,H2BC11,,LRRC8C,TMED10,,,PLIN2,ATP5MJ,TMEM74B,,,,,NAA80,CKAP4,TRA2B,,CYB561D2,,CXXC1,FGFBP1,GIGYF1,H4C1
,THUMPD2,P2RX4,SNX33,STXBP4,AOAH,,C11orf68,ARGLU1,RFK,FXN,,AVPI1,,CPNE5,,ZNF668,EIF3F,AIFM1,AQP3,,SSB,TICAM1,,PDE7A,CALB2,,CANX,,,TCF7L2,ATP5ME,DERL1,H2BC17,,DYM,DDB1,,ECHS1,H2BC4,CPNE5,,PLRG1,KRT8,,,INIP,UQCRB,FAM110A,,,,,TTC4,APPL2,MARCHF7,,C3orf14,,PPP4R1,NUMA1,MEPCE,H3C10
,LRPPRC,TMEM60,EIF1AX,BORCS7,NMT1,,AURKAIP1,TPP2,UBQLN1,RASEF,,WDR11,,RREB1,,TPM4,RAB6A,NSMCE2,VCP,,PPIG,TUBA4A,,TECPR1,CLP1,,INTS11,,,TAF5,UQCRFS1,IL33,NUDT18,,BRD4,SLC3A2,,AKAP9,SLC36A4,RREB1,,ATF7IP,MGMT,,,GSN,EEF1A1,MRPS26,,,,,MRPS6,WASHC4,GALNT5,,FXR1,,MPPE1,NARS2,NCAPG2,IQCJ-SCHIP1
,CALHM2,UGT2A3,TOMM20,ANAPC16,MYCBPAP,,ZNF169,POGLUT2,AGTPBP1,HNRNPK,,ARMH3,,ATXN1,,CDT1,CCDC85B,FRRS1,STOML2,,MDH1B,VIL1,,CPT1B,MRPL52,,COX7C,,,BTBD10,MECP2,APTX,H4C13,,SLC39A3,C2CD3,,PTPN12,ZNF792,ATXN1,,CTPS1,HARS1,,,GBGT1,KAT6B,HNRNPR,,,,,APOBEC3C,SLC41A2,GATA4,,IFT57,,EME1,RNF121,TMEM47,ENSG00000286098
,ARL3,UGT2B28,GOLIM4,TRIM44,SRSF1,,SWI5,KLB,ENTREP1,METTL27,,GNA13,,NUP153,,ANKRD11,RPS6KB2,EIF4A2,MELK,,OLA1,ECHS1,,HACD2,EGFL7,,TSPAN8,,,TNKS1BP1,FAM110B,RNF38,H4C7,,NFIC,CTNNB1,,POR,LRRC57,NUP153,,ZNF540,TMC7,,,GTF3C5,GLYATL2,ZNF436,,,,,PGAM5,FLNB,SKIL,,GBE1,,ANKRD40,GGH,NDUFB11,H3C2
,DBR1,PNPLA8,PELI3,TAF10,BRIP1,,ZDHHC21,NREP,USP30,NDUFB6,,HOXB3,,EMC3,,TUBA1A,MLXIP,PAXIP1,FBXO33,,SENP7,AKAP9,,SELENOH,DHCR7,,RAB3IP,,,CELF1,CA5B,TLN1,AATF,,MVB12A,SAC3D1,,PAICS,SLC26A11,AHNAK,,RPS7,IRX2,,,LRSAM1,MAPK13,MAX,,,,,USP51,RNASEH2B,WDR33,,MORC1,,ZNF18,TGS1,ZMYM3,H3C3
,FAM149B1,MTO1,SRP72,USP54,ACTL6A,,ORAI3,WDR36,DMTF1,AQP3,,CD274,,CNOT1,,TUBA1C,CSTF3,DHRS1,INPPL1,,COX17,POR,,GIMAP1,NBEA,,DYRK2,,,SERPINH1,TM2D2,DNAJB5,H2BC9,,DUS3L,SF1,,TUBGCP6,ZNF707,CNOT1,,CYCS,NUDCD2,,,USP6NL,NSMCE2,NECAB3,,,,,BCKDHA,TBC1D4,UGGT1,,NCBP2,,AK9,SDCBP,TAF1,SOD2
,AOX1,NT5E,GPR171,RIC3,MRPL47,,ZNF683,OSTF1,MTO1,VCP,,NUP43,,CLYBL,,NCKAP5L,TCP11L1,CACNA1D,GJB2,,SECISBP2L,PAICS,,TMX2,MYD88,,LRRC61,,,ATM,CCDC8,SPAG8,DUSP14,,CCDC97,CCDC88B,,DGCR8,NPM1,CLYBL,,CEBPB,AKAP13,,,MINDY3,MALSU1,RALY,,,,,PCP4L1,BORA,ABI1,,SLC41A3,,PIP4P2,NEK1,NONO,
,ATIC,CAPRIN1,MRPS22,PLD4,TRA2B,,ZSCAN2,RFK,ANKRD6,STOML2,,MTHFD1L,,TM9SF2,,PROSER3,ZSCAN2,VPS26C,PKNOX2,,TMOD3,TUBGCP6,,NDUFS3,KAT5,,TRPV5,,,LAMTOR1,INO80E,ALDH1B1,H4C9,,SIRT3,H3-4,,SDF2L1,PJA1,TM9SF2,,DPAGT1,GPR27,,,TCF7L2,EIF4A2,DYNLRB1,,,,,ENSG00000250264,SUCLA2,DNAJC1,,ATP6V1A,,GTF3C6,DDX60,SNX12,
,ASNSD1,GLS2,TMEM9B,ZNF3,TANK,,CDC26,UBQLN1,SYNCRIP,PKNOX2,,WDR55,,HROB,,TMC4,RNPEP,KCNJ15,KBTBD6,,HNRNPD,DGCR8,,EMP2,LRRN3,,IDUA,,,MTA2,RAMAC,HINT2,ENSG00000276345,,SIK1,MAPK1IP1L,,TPST2,ZNF322,RNF113A,,SUCLG2,NDUFA3,,,MKI67,TATDN2,BPIFB1,,,,,PRKDC,MED4,CDK9,,SCAP,,ZFYVE27,BUD13,RADX,
,SSB,HNRNPA1,DRAP1,CENPV,SKIL,,RNPEP,C9orf40,SNX14,RPUSD4,,MRPS14,,RNF113A,,ZNF146,PLAAT3,MX1,PRPF18,,GPAT3,MGAT3,,TTLL3,CKS1B,,PLA2G5,,,CPSF7,LIMS1,KLC4,H2BC3,,TMEM50B,NT5DC2,,APOL2,SGSH,NDUFA1,,GNB2,PKIA,,,TAF5,PAXIP1,PSMB2,,,,,LYN,COG3,ECPAS,,NEK11,,CNOT8,TRIM29,RBMX,
,PPIG,MAP7,UCP2,HSP90B1,ABI1,,EID2,ENTREP1,ORC3,KBTBD6,,CENPL,,SEPTIN6,,HDGFL2,PHLDB3,C2CD2,VDAC2,,PRDM5,BAIAP2L2,,FBXO16,ABLIM3,,KLF2,,,MKX,CSGALNACT2,KIF13A,H4C5,,URB1,PDHB,,APOBEC3A,ZBTB20,SOX9,,CLP1,KYAT1,,,RGS10,DHRS1,UROD,,,,,ENSG00000255730,LMO7,C9orf78,,HEMK1,,PDIA4,PPP2R1B,RPL10,
,FASTKD1,CD164,C11orf68,COG1,DNAJC1,,PHLDB3,PSAT1,LMO2,PRPF18,,GORAB,,NDUFA1,,GLOD4,PRR15,SLC38A10,NSD1,,NUP54,TST,,LYRM4,CSPG4,,GFER,,,EEF1AKMT1,TPST1,YIPF3,H2AC8,,AKT1,H1-4,,RNF112,COPG1,MRPS7,,ZNF24,C1GALT1C1,,,BTBD10,KIT,ST3GAL3,,,,,ENSG00000256591,ITM2B,KLF4,,CISH,,FZD7,SQOR,NSD3,
,IDH1,REPS1,ZNF169,GOLM2,CDK9,,GNG7,USP30,NAT10,FAM204A,,ACAT2,,SOX9,,IGFBP6,RUFY1,SPPL3,PMPCA,,BMP2K,APOBEC3A,,FIS1,SNX33,,FBXL16,,,ADGRL3,CNTROB,TJAP1,H4C4,,CAPN10,KCTD6,,PODXL,SLC35C1,GGA3,,MRPL52,GAA,,,ADM,VPS26C,TUBGCP3,,,,,MAP1LC3B2,SPRY2,NIBAN2,,ACVR2B,,RNF20,CTDSPL2,MRPS28,
,OLA1,TEC,CTDNEP1,AP1G1,ODF2,,LMNB2,DMTF1,PRRG4,NSD1,,PDZD11,,MRPS7,,NDUFV1,FIBIN,PRXL2B,HPRT1,,SCARB2,SPECC1,,BBIP1,CHD2,,SMARCA4,,,MIA2,HNRNPA3,SLC22A23,H2BC7,,TIMM29,DTYMK,,CALU,IBA57,MIF4GD,,TMCC1,CANT1,,,IMMP1L,KCNJ15,PDCD2L,,,,,C17orf49,NUDT15,SLC31A2,,WDR48,,ATP5MJ,SLTM,MTDH,
,ABI2,CCT7,ORAI3,SLFN5,C9orf78,,BASP1,PNPLA8,CAPRIN1,PRDX3,,MASTL,,MIF4GD,,HID1,SMCR8,RER1,DDX21,,SHROOM3,LSM8,,STARD10,LRFN4,,VIL1,,,CD226,GON7,LRRC1,PRICKLE4,,RPL13A,TAP1,,MRPS12,CLDN7,MSTO1,,PDP2,KRT19,,,TNKS1BP1,RER1,UBA2,,,,,THTPA,RCBTB2,USP20,,GORASP1,,UQCRB,NDUFAF1,EBAG9,
,SENP7,USP15,CSTF3,PLIN1,KLF4,,SMCR8,RINT1,ATP5MC2,HPRT1,,KIAA1217,,TTF1,,ATP5PD,WDR73,CFAP251,CCDC186,,PPA2,FOXP2,,ZNF727,RCE1,,ECHS1,,,MTMR12,STX8,HMGA1,H2BC10,,ZNF593,HEXIM2,,PDE11A,C5orf24,TTF1,,EGFL7,LURAP1,,,SERPING1,KRTCAP3,COX6B1,,,,,PECAM1,SETDB2,MRPL50,,AADAC,,SUPV3L1,KIF23,ZNF7,
,COX17,MDM2,UFSP1,NAV2,CDK5RAP2,,GJD4,SRPK2,GDF11,CCDC186,,PLXDC2,,PPP1R12C,,TMEM88,RPS6KA3,MRPL17,UBTD1,,INTS12,IFT22,,IFRD2,BCLAF3,,HIP1,,,IL18,CDK1,IER3,H4C1,,KIAA0319L,ING2,,HAT1,PNMA8A,PPP1R12C,,DHCR7,RSL1D1,,,ARFGAP2,DZIP1L,RRAS,,,,,ISY1-RAB43,SRSF1,PSMB7,,ABHD14B,,EEF1A1,ITGA11,NAPRT,
,SECISBP2L,CCDC102A,ANAPC2,ZBTB39,FPGS,,ACOT4,MDFIC,AGAP2,ISCA2,,TAF12,,INSIG2,,E4F1,PUS1,FAIM,ISCA2,,HADH,MKLN1,,PHB2,PSMD1,,PTPN12,,,PIP4K2A,MGMT,MDC1,H4C2,,MAP3K6,TMUB2,,HERC2,IDH2,INSIG2,,RNASEH2C,PLRG1,,,CELF1,WASF2,SCAF1,,,,,ENSG00000262660,BRIP1,RABEPK,,SSR3,,HK1,RTF1,AK3,
,TMOD3,EGLN1,ZBTB8OS,PATL1,USP20,,TBL1XR1,MTO1,B4GALNT1,PSMC3,,ENOX1,,THOC2,,ECI1,MAN1B1,CUL4B,SLC39A13,,KIF21A,NDUFA5,,DDX3X,TOMM20,,POR,,,SEC24D,HARS1,MTCH1,IQCJ-SCHIP1,,CELA3A,NDUFS5,,TWSG1,FAM89A,GTF2F1,,MYD88,BCL2,,,HIKESHI,GPRASP2,TRAP1,,,,,MRPL12,ACTL6A,XPA,,NKTR,,PHF6,RMDN3,HAUS6,
,SPPL2A,RNASEL,ZSCAN2,MRPL16,MRPL50,,C18orf32,ANKRD6,FAIM2,AGBL2,,PROSER1,,MED1,,SRRM2,GJD4,H2BC5,PSMC3,,PEX5,MRPS12,,VPS16,CNP,,GNAI1,,,CACNA1C,PA2G4,ARRB1,ENSG00000286098,,SERBP1,LDLRAD4,,EIF2AK4,IST1,CLPP,,EVC2,ZNF540,,,ENDOD1,H2BC5,NSRP1,,,,,RPL17,NDUFB5,NCBP1,,CLCN2,,KAT6B,PLCB2,GTF3C5,
,PPCDC,DHX9,EID2,CCNDBP1,PSMB7,,PIDD1,SYNCRIP,HNRNPA1,CPSF2,,UFM1,,RPL23,,C2CD3,PAWR,SPATA2,AGBL2,,LGR5,PDE11A,,ZNF579,HAP1,,PAICS,,,NGLY1,TMC7,THAP12,SOD2,,PRKACB,GFM1,,MINDY2,LDOC1,THOC2,,HECTD4,PTEN,,,SERPINH1,CDC25C,IFI6,,,,,FSBP,MRPL47,RPL35,,NEK4,,UTP14A,ZNF280D,SH3GLB2,
,COPS4,RC3H1,GJC3,MARS1,GOLGA1,,GBA1,NT5E,MAP7,MOAP1,,WBP4,,SH2D3A,,RPSA,TBL1XR1,PPP1R9A,CPSF2,,AMDHD1,PSMG2,,C6orf226,RNF213,,KDR,,,PLBD2,TRABD,ANKRD42,,,PTPRF,LRRC28,,KNSTRN,NLRP10,MED1,,KDM2A,RPS7,,,PAK1,CD1A,ZNF384,,,,,RASSF5,TRA2B,DSCC1,,INO80D,,BAG4,KYAT3,PAXX,
,HNRNPD,MRPL44,PHLDB3,PHB1,XPA,,DNAJC28,LMO2,HEY2,SMCO4,,SMAD9,,TNFSF14,,CTNNB1,GBA1,ZC3H18,MOAP1,,TDG,DLL4,,FXYD7,CTSF,,TST,,,DIP2C,AKAP13,NUMA1,,,CTTNBP2NL,ZNF608,,PSMA1,TRAK1,RPL23,,CKS1B,EIF2AK3,,,LAMTOR1,TSR2,UXT,,,,,ENSG00000267561,MARCHF7,DERL1,,EEF1B2,,NSMCE2,THUMPD2,USP6NL,
,SEC31A,TMBIM1,TYMS,GPRC5B,NCBP1,,HNRNPA0,NAT10,CCT7,CEP57,,HSPH1,,SNRPD2,,SF1,BET1L,TMED4,IFI27,,GIT2,IVD,,PLEKHM1,MSRB3,,APOL2,,,EIF4E,GPR27,SULF1,,,POGK,LETM1,,SUMF2,C1orf116,SH2D3A,,ABLIM3,CYCS,,,KAT14,ZC3H18,TIMM17B,,,,,H3Y2,GALNT5,IL33,,ADAM23,,MFSD14A,ACTR2,COMMD3,
,RAP1GDS1,COX5B,DPP7,RNF214,ANP32B,,DMAP1,PRRG4,MDM2,TCP11L2,,EXOSC8,,VASP,,PAFAH1B2,DMAP1,COPG2,TAF1D,,TCHP,CHAC1,,RD3L,FAM174A,,ATP6V1F,,,CDC123,KBTBD2,TGS1,,,ISG20L2,ATP5ME,,SPCS3,ACBD3,TRIP10,,GLRX,ZNF131,,,MTA2,NDUFS2,PCNX4,,,,,SPIB,GATA4,APTX,,DGUOK,,EIF4A2,LRPPRC,ADD3,
,BMP2K,EDAR,SMCR8,CDK12,CTSV,,DDX10,CAPRIN1,EGLN1,HIF1AN,,FAM53C,,SDCBP2,,SETD5,NDUFAF3,EMSY,CEP57,,SLC46A3,CALML4,,RPS18,DDX23,,PODXL,,,EPS8,GIMAP8,DDX60,,,HDGF,UQCRFS1,,DCTD,RBM10,SNRPD2,,GOLGB1,DPAGT1,,,CPSF7,FCER1G,KTN1,,,,,BIVM-ERCC5,SKIL,TMEM8B,,KANSL3,,TATDN2,KIF11,TCF7L2,
,G3BP2,GCC2,WDR73,MYO5B,IL33,,NDUFV2,B4GALNT1,GLUL,ZFYVE19,,KDM3B,,PANK2,,H3-4,POGLUT3,FHIP2B,TCP11L2,,SLC7A1,COPB1,,H2BC15,PELI3,,IFT22,,,THYN1,C1GALT1C1,BUD13,,,TOR1AIP1,HNRNPH1,,RPAIN,GLUD2,EML2,,TNKS,SUCLG2,,,DSN1,ALG8,RHOJ,,,,,CCL5,ZNG1B,ALDH1B1,,LMAN2L,,ODR4,DNAJC13,TAF5,
,SCARB2,MRPS9,RHOG,TRIM68,APTX,,DALRD3,HNRNPA1,STX6,SPINT1,,PLS1,,STK35,,MAPK1IP1L,GALNT11,CCAR2,GPR176,,NABP2,SUMF2,,UQCRHL,UGT8,,MKLN1,,,NR3C2,TRIM8,TRIM29,,,LYPLAL1,MECP2,,PLD2,EWSR1,VASP,,MICOS10,STARD5,,,HIRIP3,C1QC,PLEKHG3,,,,,MILR1,WDR33,HINT2,,FAHD2A,,PAXIP1,DNA2,RGS10,
,CCNG2,ISCU,ZBTB34,TPM4,TLN1,,GALNT11,MAP7,DHX9,BRD7,,NR2C1,,SNRPB,,DDIT4,ZFAND2A,CDC42SE2,BRD7,,SMARCC2,DCTD,,H2BC12L,SLC29A2,,DNAJB9,,,WWC2,GPR82,SQOR,,,RFX5,HSPBAP1,,FXR2,CAMK1D,SDCBP2,,GMPPB,CSDC2,,,MKX,RUNX1,RHOT1,,,,,NUDT3,UGGT1,DENND4C,,NCL,,DDX19B,ATIC,LIN7C,
,INTS12,CKAP4,FAM210A,CDT1,SPAG8,,TMEM11,HEY2,RC3H1,API5,,TMPO,,NRSN2,,GLYCTK,P4HTM,CSRP1,TAF10,,KANSL2,PLD2,,ZNF736,B4GAT1,,NDUFA5,,,ACSL1,TCEA2,CTDSPL2,,,ANP32E,SLC25A6,,KIF1C,PTTG1IP,PANK2,,CEP83,FIBP,,,HNMT,CBR1,SLC10A3,,,,,CD24,ABI1,RPS6,,SF3B6,,ST3GAL2,ASNSD1,APIP,
,HADH,APPL2,RPS6KA3,TUBA1A,ALDH1B1,,P4HTM,SMPD2,TMBIM1,ANAPC16,,ARL1,,RRBP1,,H1-4,COX5A,CBR1,DCHS1,,ESYT1,TXNDC17,,ZSCAN31,LARP7,,MRPS12,,,PTPN14,BCL2,SLTM,,,ENSA,FAM110B,,PHF20L1,TEKTIP1,TMX4,,RCE1,CHCHD1,,,PDCD4,MORC3,MAP2K2,,,,,FAM47E-STBD1,CDK9,FOXP4,,TP53I3,,DHRS1,SSB,TNKS1BP1,
,CPNE8,WASHC4,PUS1,TUBA1C,HINT2,,MAF,REPS1,CAB39,TAF10,,NFYB,,FLRT3,,DTYMK,TMEM139,CYB5R1,USP54,,ZNF740,FXR2,,NFAM1,SRP72,,PSMG2,,,GPATCH11,RPS21,NDUFAF1,,,DUSP10,MN1,,CCNT1,UTP11,STK35,,EIF1AX,MRPL52,,,CCDC102B,CYB5R1,HNRNPH2,,,,,H3-7,ECPAS,KLC4,,STAM2,,AASDH,PPIG,CELF1,
,AEBP2,VILL,PAWR,NCKAP5L,FOXP4,,DPY19L3,CCT7,COX5B,USP54,,TNFRSF10B,,MKKS,,COG7,TUFM,HK2,SERPINB8,,SBNO1,CCNT1,,B3GNT9,DENND6A,,TWSG1,,,HSPB8,MRM3,KIF23,,,HAX1,MRPL1,,ILF3,PCBP3,SNRPB,,JUP,RAD9A,,,MTMR12,ALDH4A1,CANX,,,,,CWC25,C9orf78,YIPF3,,GPD2,,RNF111,FASTKD1,ATM,
,NDUFA9,FLNB,TBL1XR1,ZNF146,KLC4,,MRFAP1,RAB11FIP5,MRPS9,RIC3,,EPHX2,,DSTN,,FEN1,EIF3K,ALDH4A1,RIC3,,RBM26,ILF3,,C2orf74,PDE12,,CGNL1,,,EPG5,PPIH,ITGA11,,,ILF2,PTPN9,,DTD2,H3C13,RRBP1,,GPR160,DCP2,,,IL18,NAE1,COX7C,,,,,ZNHIT3,KLF4,SLC22A23,,SLC30A3,,KCNJ15,OLA1,LAMTOR1,
,PEX5,TBC1D4,CD163,DAPK3,KIF13A,,FARSA,DYSF,SCYL2,PLD4,,TARDBP,,SNRPB2,,HEXIM2,SPTY2D1,STARD9,IDH3A,,FITM1,ADCY4,,TMEM250,PTDSS2,,DLL4,,,ATP5F1A,SMN1,HAUS2,,,RIT1,TM2D2,,MIS18BP1,ALYREF,DSTN,,CCS,DHCR7,,,PIP4K2A,EFCAB14,ABHD8,,,,,H2BC14,NIBAN2,RIPK1,,PPM1G,,MX1,ITGAV,MTA2,
